avg_abs_b,avg_abs_n,avg_iterations,avg_qp_iterations,avg_speed,avg_sqp_iterations,avg_tracking_error,backend,backend_family,case_name,file,final_theta_abs,final_tracking_error,max_constraint_violation,max_ms,median_ms,min_wall_dist,p95_ms,steps,success_rate
,,7.452,,,,0.10447971112051715,clarabel,clarabel,data_driven_mpc_lemniscate_tracking,results/raw/clarabel/data_driven_mpc_lemniscate_tracking.csv,,0.001977833922890422,0.0,0.5921069532632828,0.3266639541834593,,0.5048980936408043,500,1.0
,,6.596,,,,0.027385835542498564,clarabel,clarabel,data_driven_mpc_loop_tracking,results/raw/clarabel/data_driven_mpc_loop_tracking.csv,,0.0023296383442467606,0.0,0.42841501999646425,0.30924350721761584,,0.3929099708329886,500,1.0
,,3.52,,,,,minisolver,minisolver,chain_mass,results/raw/minisolver/chain_mass.csv,,,0.0,5.70549,2.21131,0.00112253,3.8119999999999985,25,1.0
,,3.14,,,,0.10447973021431095,minisolver,minisolver,data_driven_mpc_lemniscate_tracking,results/raw/minisolver/data_driven_mpc_lemniscate_tracking.csv,,0.0019778347388724423,0.0,0.180607,0.052545499999999995,,0.09771104999999998,500,1.0
,,2.644,,,,0.027385847009414425,minisolver,minisolver,data_driven_mpc_loop_tracking,results/raw/minisolver/data_driven_mpc_loop_tracking.csv,,0.0023296392954391654,0.0,0.104211,0.052615999999999996,,0.056731050000000005,500,1.0
,,2.915,,2.496669752483723,,0.01006547774066417,minisolver,minisolver,mpcc_track_following,results/raw/minisolver/mpcc_track_following.csv,,0.002583046321636929,0.0,0.313634,0.112421,,0.15018450000000003,400,1.0
,,2.1016666666666666,,7.999309105040035,,0.0010613122291718217,minisolver,minisolver,nonlinear_mpcc_fssim_following,results/raw/minisolver/nonlinear_mpcc_fssim_following.csv,,0.0006308284565203259,0.0,0.435546,0.1309515,,0.16720699999999997,1200,1.0
,,2.328333333333333,,5.999177861516667,,0.0020893689354004813,minisolver,minisolver,nonlinear_mpcc_porto_following,results/raw/minisolver/nonlinear_mpcc_porto_following.csv,,6.99942394657996e-05,0.0,0.333784,0.11226649999999999,,0.1425815,600,1.0
,,1.0,,,,,minisolver,minisolver,pendulum_on_cart,results/raw/minisolver/pendulum_on_cart.csv,0.00102476,,0.0,0.04714,0.036425,,0.040026,100,1.0
0.0008698599917435897,0.03997268696706026,1.0,,,,,minisolver,minisolver,quadrotor_nav,results/raw/minisolver/quadrotor_nav.csv,,,0.0,1.47449,1.242995,,1.299828,1560,1.0
,,1.0,,1.4713146885200001,,,minisolver,minisolver,race_cars,results/raw/minisolver/race_cars.csv,,,0.0287803,0.565597,0.37900500000000004,,0.4071465,500,0.814
